"contrast"	"metric"	"value"	"significance"	"pvalue"	"rawval"
"1"	"45A4 - 53A6"	"A_Helix"	"0.36 ± 0.09"	"(***)"	0.000616224387481373	"1.26 ± 0.30"
"7"	"45A4 - 53A6"	"B_Bridge"	"0.09 ± 0.06"	"( )"	0.91114395294822	"0.18 ± 0.09"
"13"	"45A4 - 53A6"	"B_Strand"	"-0.13 ± 0.09"	"( )"	1	"-0.43 ± 0.21"
"19"	"45A4 - 53A6"	"Hbond_bb_0.25_120"	"0.03 ± 0.06"	"( )"	1	"0.13 ± 0.29"
"25"	"45A4 - 53A6"	"Hbond_native_bb_0.25_120"	"-0.31 ± 0.08"	"(**)"	0.00197141956294496	"-1.26 ± 0.35"
"31"	"45A4 - 53A6"	"Jvalue"	"0.02 ± 0.09"	"( )"	1	"0.03 ± 0.07"
"37"	"45A4 - 53A6"	"NOE_repl_merged"	"-0.05 ± 0.05"	"( )"	1	"-0.01 ± 0.00"
"43"	"45A4 - 53A6"	"Pi_Helix"	"-0.06 ± 0.12"	"( )"	1	"-0.09 ± 0.13"
"49"	"45A4 - 53A6"	"Rgyr"	"-0.03 ± 0.00"	"(***)"	2.13644792199856e-20	"-0.03 ± 0.00"
"55"	"45A4 - 53A6"	"RMSD.ADJ"	"-0.07 ± 0.09"	"( )"	1	"-0.02 ± 0.01"
"61"	"45A4 - 53A6"	"SASA_nonpolar"	"-0.07 ± 0.01"	"(***)"	5.38693748687263e-09	"-0.54 ± 0.09"
"67"	"45A4 - 53A6"	"SASA_polar"	"-0.19 ± 0.01"	"(***)"	4.08933108085525e-33	"-1.56 ± 0.12"
"73"	"45A4 - 53A6"	"ThreeTen_Helix"	"0.08 ± 0.08"	"( )"	1	"0.10 ± 0.11"
"2"	"45A4 - 54A7"	"A_Helix"	"0.00 ± 0.08"	"( )"	1	"-0.42 ± 0.29"
"8"	"45A4 - 54A7"	"B_Bridge"	"0.16 ± 0.06"	"(*)"	0.042635485983375	"0.20 ± 0.08"
"14"	"45A4 - 54A7"	"B_Strand"	"0.46 ± 0.08"	"(***)"	1.86991114339904e-06	"0.94 ± 0.20"
"20"	"45A4 - 54A7"	"Hbond_bb_0.25_120"	"-0.50 ± 0.06"	"(***)"	6.03849249534821e-15	"-2.46 ± 0.28"
"26"	"45A4 - 54A7"	"Hbond_native_bb_0.25_120"	"-0.75 ± 0.08"	"(***)"	2.89475246327141e-18	"-3.12 ± 0.34"
"32"	"45A4 - 54A7"	"Jvalue"	"0.11 ± 0.09"	"( )"	1	"0.09 ± 0.07"
"38"	"45A4 - 54A7"	"NOE_repl_merged"	"-0.02 ± 0.05"	"( )"	1	"-0.00 ± 0.00"
"44"	"45A4 - 54A7"	"Pi_Helix"	"0.12 ± 0.11"	"( )"	1	"0.13 ± 0.13"
"50"	"45A4 - 54A7"	"Rgyr"	"-0.02 ± 0.00"	"(***)"	7.35931190706451e-19	"-0.03 ± 0.00"
"56"	"45A4 - 54A7"	"RMSD.ADJ"	"0.32 ± 0.08"	"(**)"	0.00139112847446838	"0.01 ± 0.01"
