"contrast"	"metric"	"value"	"significance"	"pvalue"
"1"	"45A4 - 53A6"	"A_Helix"	"0.36 ± 0.09"	"(***)"	0.000704024098903208
"7"	"45A4 - 53A6"	"B_Bridge"	"0.09 ± 0.06"	"( )"	0.911151752557516
"13"	"45A4 - 53A6"	"B_Strand"	"-0.13 ± 0.09"	"( )"	1
"19"	"45A4 - 53A6"	"Hbond_bb_0.25_120"	"0.03 ± 0.06"	"( )"	1
"25"	"45A4 - 53A6"	"Hbond_native_bb_0.25_120"	"-0.31 ± 0.08"	"(**)"	0.00284860741665033
"31"	"45A4 - 53A6"	"Jvalue"	"0.02 ± 0.09"	"( )"	1
"37"	"45A4 - 53A6"	"NOE_repl_merged"	"-0.05 ± 0.05"	"( )"	1
"43"	"45A4 - 53A6"	"Pi_Helix"	"-0.06 ± 0.12"	"( )"	1
"49"	"45A4 - 53A6"	"Rgyr"	"-0.02 ± 0.00"	"(***)"	6.13645919288611e-20
"55"	"45A4 - 53A6"	"RMSD.ADJ"	"-0.07 ± 0.09"	"( )"	1
"61"	"45A4 - 53A6"	"SASA_nonpolar"	"-0.06 ± 0.01"	"(***)"	0.00013359596840528
"67"	"45A4 - 53A6"	"SASA_polar"	"-0.13 ± 0.02"	"(***)"	2.6711092864916e-12
"73"	"45A4 - 53A6"	"ThreeTen_Helix"	"0.08 ± 0.08"	"( )"	1
"2"	"45A4 - 54A7"	"A_Helix"	"0.00 ± 0.08"	"( )"	1
"8"	"45A4 - 54A7"	"B_Bridge"	"0.16 ± 0.06"	"(*)"	0.0466503523876592
"14"	"45A4 - 54A7"	"B_Strand"	"0.47 ± 0.08"	"(***)"	1.3274139235578e-06
"20"	"45A4 - 54A7"	"Hbond_bb_0.25_120"	"-0.51 ± 0.06"	"(***)"	2.37521680762086e-15
"26"	"45A4 - 54A7"	"Hbond_native_bb_0.25_120"	"-0.77 ± 0.08"	"(***)"	3.43314222782011e-18
"32"	"45A4 - 54A7"	"Jvalue"	"0.12 ± 0.09"	"( )"	1
"38"	"45A4 - 54A7"	"NOE_repl_merged"	"-0.02 ± 0.05"	"( )"	1
"44"	"45A4 - 54A7"	"Pi_Helix"	"0.12 ± 0.11"	"( )"	1
"50"	"45A4 - 54A7"	"Rgyr"	"-0.02 ± 0.00"	"(***)"	3.43314222782011e-18
"56"	"45A4 - 54A7"	"RMSD.ADJ"	"0.32 ± 0.08"	"(**)"	0.00154569830496487
"62"	"45A4 - 54A7"	"SASA_nonpolar"	"-0.06 ± 0.01"	"(***)"	4.96058278905659e-06
"68"	"45A4 - 54A7"	"SASA_polar"	"-0.11 ± 0.02"	"(***)"	8.91023676034934e-10
"74"	"45A4 - 54A7"	"ThreeTen_Helix"	"-0.20 ± 0.08"	"( )"	0.145552289809321
"3"	"45A4 - 54A8"	"A_Helix"	"-0.07 ± 0.08"	"( )"	1
"9"	"45A4 - 54A8"	"B_Bridge"	"0.18 ± 0.06"	"(*)"	0.0144894561216205
"15"	"45A4 - 54A8"	"B_Strand"	"0.45 ± 0.08"	"(***)"	4.3705585063503e-06
"21"	"45A4 - 54A8"	"Hbond_bb_0.25_120"	"-0.57 ± 0.06"	"(***)"	7.51776015117275e-19
"27"	"45A4 - 54A8"	"Hbond_native_bb_0.25_120"	"-0.90 ± 0.08"	"(***)"	7.24490981564957e-24
"33"	"45A4 - 54A8"	"Jvalue"	"0.14 ± 0.09"	"( )"	1
"39"	"45A4 - 54A8"	"NOE_repl_merged"	"0.03 ± 0.05"	"( )"	1
"45"	"45A4 - 54A8"	"Pi_Helix"	"0.16 ± 0.11"	"( )"	1
"51"	"45A4 - 54A8"	"Rgyr"	"-0.02 ± 0.00"	"(***)"	4.76198512297003e-14
"57"	"45A4 - 54A8"	"RMSD.ADJ"	"0.45 ± 0.08"	"(***)"	1.3274139235578e-06
"63"	"45A4 - 54A8"	"SASA_nonpolar"	"-0.04 ± 0.01"	"(**)"	0.00334640725415141
"69"	"45A4 - 54A8"	"SASA_polar"	"-0.08 ± 0.02"	"(***)"	3.36554782025817e-05
"75"	"45A4 - 54A8"	"ThreeTen_Helix"	"-0.10 ± 0.08"	"( )"	1
"4"	"53A6 - 54A7"	"A_Helix"	"-0.36 ± 0.08"	"(***)"	0.000449522798662481
"10"	"53A6 - 54A7"	"B_Bridge"	"0.07 ± 0.06"	"( )"	1
"16"	"53A6 - 54A7"	"B_Strand"	"0.60 ± 0.08"	"(***)"	1.44269632378034e-10
"22"	"53A6 - 54A7"	"Hbond_bb_0.25_120"	"-0.54 ± 0.06"	"(***)"	4.26701544147231e-17
