"54A8 - 54A7"	"54A8 - 53A6"	"54A8 - 45A4"	"54A7 - 53A6"	"54A7 - 45A4"	"53A6 - 45A4"
"A_Helix"	"0.07 ± 0.08 [1.00e+00]"	"0.43 ± 0.08 [6.30e-06]"	"0.07 ± 0.08 [1.00e+00]"	"0.36 ± 0.08 [3.21e-04]"	"-0.00 ± 0.08 [1.00e+00]"	"-0.36 ± 0.09 [5.21e-04]"
"B_Strand"	"0.01 ± 0.08 [1.00e+00]"	"-0.58 ± 0.08 [5.22e-10]"	"-0.45 ± 0.08 [2.88e-06]"	"-0.59 ± 0.08 [2.66e-10]"	"-0.46 ± 0.08 [1.64e-06]"	"0.13 ± 0.09 [1.00e+00]"
"Hbond_bb_0.25_120"	"0.07 ± 0.05 [1.00e+00]"	"0.59 ± 0.06 [1.76e-20]"	"0.56 ± 0.06 [7.97e-19]"	"0.53 ± 0.06 [9.98e-17]"	"0.50 ± 0.06 [5.50e-15]"	"-0.03 ± 0.06 [1.00e+00]"
"Jvalue"	"-0.02 ± 0.09 [1.00e+00]"	"-0.11 ± 0.09 [1.00e+00]"	"-0.13 ± 0.09 [1.00e+00]"	"-0.09 ± 0.09 [1.00e+00]"	"-0.11 ± 0.09 [1.00e+00]"	"-0.02 ± 0.09 [1.00e+00]"
"NOE_repl_merged"	"-0.05 ± 0.04 [1.00e+00]"	"-0.08 ± 0.04 [6.48e-01]"	"-0.03 ± 0.05 [1.00e+00]"	"-0.03 ± 0.04 [1.00e+00]"	"0.02 ± 0.05 [1.00e+00]"	"0.05 ± 0.05 [1.00e+00]"
"Rgyr"	"-0.00 ± 0.00 [1.00e+00]"	"-0.00 ± 0.00 [3.72e-01]"	"0.02 ± 0.00 [1.10e-14]"	"-0.00 ± 0.00 [1.00e+00]"	"0.02 ± 0.00 [6.44e-19]"	"0.03 ± 0.00 [1.95e-20]"
"RMSD.ADJ"	"-0.13 ± 0.07 [6.92e-01]"	"-0.52 ± 0.08 [1.07e-08]"	"-0.45 ± 0.08 [9.16e-07]"	"-0.39 ± 0.08 [3.96e-05]"	"-0.32 ± 0.08 [1.17e-03]"	"0.07 ± 0.09 [1.00e+00]"
"SASA_nonpolar"	"-0.00 ± 0.01 [1.00e+00]"	"-0.00 ± 0.01 [1.00e+00]"	"0.07 ± 0.01 [6.84e-09]"	"0.00 ± 0.01 [1.00e+00]"	"0.08 ± 0.01 [5.24e-10]"	"0.07 ± 0.01 [4.71e-09]"
"SASA_polar"	"-0.07 ± 0.01 [7.49e-07]"	"-0.09 ± 0.01 [1.08e-09]"	"0.10 ± 0.01 [5.39e-11]"	"-0.02 ± 0.01 [7.67e-01]"	"0.16 ± 0.01 [4.09e-28]"	"0.19 ± 0.01 [2.98e-33]"
"ThreeTen_Helix"	"-0.10 ± 0.07 [1.00e+00]"	"0.18 ± 0.08 [2.63e-01]"	"0.10 ± 0.08 [1.00e+00]"	"0.28 ± 0.08 [5.76e-03]"	"0.20 ± 0.08 [1.41e-01]"	"-0.08 ± 0.08 [1.00e+00]"
