algorithm,compound,ThreeTen_Helix,A_Helix,Pi_Helix,Bend,B_Bridge,B_Strand,Turn,3-Helical Turn,Alpha-Helix,B_Strand,Beta-Turn,Irregular Beta Strand,Left-handed Turn,Other Tight Turn,Unclassified,3-10 helix,Alpha-helix,Beta-bulge,Beta-cap,Beta-strand,Ext. beta-strand,Gamma-turn,Hairpin,Helix-cap,Left turn 2,Left-handed helix,Pi-helix,Polyproline-helix,Schellman turn,Turn 1,Turn 2,Turn 8,Turn-cap,Unclassified,RMSD,SASA_polar,SASA_nonpolar,Rgyr,NOE_repl_merged,Hbond_native_bb,Hbond_bb,Hbond_native_bb_0.25_120,Hbond_bb_0.25_120,Energy,Jvalue
45A4,1aey,3,0,0,7,4,22,6,2,5,23,1,3,1,2,21,1,2,1,13,9,1,2,1,3,1,1,1,2,1,1,1,1,1,21,0.112371132,26.39214683,6.689744307,1.05628742,,17,22,21,25,-271.8504421,
45A4,1aey,3,0,0,6,4,22,7,1,4,23,1,3,1,2,21,1,2,1,12,10,1,2,1,2,1,0,1,2,1,1,1,1,1,21,0.110389062,26.34361495,6.364758108,1.052182934,,18,23,22,26,-271.8375427,
45A4,1aey,3,0,0,8,3,22,5,1,4,24,2,2,1,2,21,1,2,1,13,10,1,2,1,2,1,0,1,2,1,1,1,1,1,21,0.12265101,26.30840627,6.750127121,1.0535926,,16,21,20,23,-271.8932682,
45A4,1afi,2,21,1,3,1,21,12,3,25,17,1,2,0,4,18,2,22,1,8,9,1,2,1,3,0,0,1,2,1,1,1,1,1,18,0.151212004,28.06576026,6.87563323,1.134611369,,17,34,27,38,-457.6476332,
45A4,1afi,3,23,2,4,1,21,10,3,25,17,1,2,1,5,18,2,22,1,8,9,1,2,1,3,1,0,1,2,2,1,1,1,1,18,0.178700854,26.94488299,7.099621106,1.12142384,,15,34,26,38,-457.6095991,
45A4,1afi,2,22,0,3,1,20,12,2,24,17,1,2,1,4,18,2,21,1,7,10,1,2,2,3,1,0,1,2,2,1,1,1,1,18,0.131453374,27.81037347,7.447796988,1.134071193,,18,36,28,40,-457.6246054,
45A4,1aki,4,44,2,20,3,10,21,7,48,15,2,4,1,6,44,3,37,2,10,4,1,3,2,10,1,1,2,3,2,2,1,2,2,44,0.237939042,43.42406647,9.104414989,1.405546877,0.012,34,48,37,55,-200.5203704,1.9
45A4,1aki,7,35,3,22,4,9,28,8,43,11,2,3,1,7,51,4,33,1,8,3,1,3,3,8,1,1,2,2,2,2,1,2,2,51,0.185169418,42.51972914,8.183549282,1.368017166,,36,53,39,61,-200.5709354,
45A4,1aki,2,43,2,23,4,11,21,7,47,13,2,3,1,5,49,3,36,1,9,4,1,2,2,9,1,1,2,2,2,2,1,2,2,49,0.195462732,42.65224991,8.435743394,1.367220744,,36,52,40,59,-200.5521532,
45A4,1amm,4,6,0,35,12,55,17,4,17,57,5,9,3,8,67,2,6,7,22,34,2,3,2,11,0,3,1,3,3,1,4,2,2,67,0.125191486,53.7743379,14.21968136,1.688388973,,58,68,62,76,-171.1268003,
45A4,1amm,5,6,0,32,13,55,20,4,20,55,4,9,3,10,66,2,7,7,22,31,2,3,3,12,0,3,1,2,5,1,3,2,2,66,0.194164832,54.38939417,14.0040083,1.693625891,,60,69,64,77,-171.1197434,
45A4,1amm,5,5,2,32,11,55,22,6,18,55,5,9,3,10,65,2,6,7,20,32,2,3,2,12,1,3,1,2,5,2,4,2,3,65,0.17713675,53.55170394,13.86831718,1.684877125,,60,72,65,80,-171.1021037,
45A4,1bta,3,33,2,12,2,14,10,3,32,13,2,2,1,4,31,2,28,1,6,7,1,3,1,3,1,1,1,2,1,1,1,1,2,31,0.221476894,32.49945563,8.316409442,1.237651769,,19,37,29,43,-308.5798266,2.8
45A4,1bta,3,36,2,9,2,15,9,3,35,14,2,2,1,4,27,2,31,1,6,8,1,3,2,3,1,0,1,2,1,1,1,1,1,27,0.186947158,32.49276013,8.037216924,1.233923725,,22,40,33,46,-308.587109,
45A4,1bta,3,37,2,11,2,15,9,3,35,12,2,2,1,4,28,2,32,1,5,7,1,3,1,3,1,0,1,2,1,1,1,1,1,28,0.172728928,33.38956402,8.208117256,1.230303487,,22,43,33,49,-308.6355957,
45A4,1d3z,3,10,2,10,3,20,13,2,18,16,1,4,1,3,29,2,13,1,9,7,1,3,1,5,1,1,1,3,1,1,1,1,1,29,0.167627488,32.58270049,5.109398451,1.163664626,0.067,24,30,26,36,-508.84848,1.8
45A4,1d3z,3,11,5,8,2,22,14,3,19,18,1,4,1,5,23,2,13,1,9,10,1,3,2,5,0,1,1,3,2,1,1,1,1,23,0.117782552,32.06021807,4.988437961,1.150881263,,28,33,30,37,-508.83863,
45A4,1d3z,3,11,0,8,2,24,14,2,18,17,1,3,1,5,27,2,13,1,9,8,1,3,1,4,1,1,1,3,1,1,1,1,1,27,0.127521656,31.87227019,5.027180267,1.149405448,,28,33,30,38,-508.8016327,
45A4,1e8l,3,42,3,23,4,8,17,5,46,15,2,4,1,5,50,3,35,1,10,5,1,3,1,8,1,1,3,3,2,2,1,1,2,50,0.20285417,42.11364588,9.666218844,1.374084619,0.011,23,50,29,58,-224.2208535,1.8
45A4,1e8l,2,40,2,20,4,9,22,5,44,14,2,5,1,7,49,2,35,2,10,4,1,3,2,8,1,1,3,3,2,1,1,1,3,49,0.238117854,42.73914438,9.565947222,1.374478597,,23,49,31,55,-224.1830512,
45A4,1e8l,3,45,3,20,5,6,20,6,47,9,3,3,2,8,49,3,37,1,6,3,1,3,4,8,1,2,2,2,2,2,2,1,2,49,0.178380824,42.91226885,9.10556734,1.382049473,,21,49,28,57,-224.242468,
45A4,1ew4,3,33,2,13,2,31,7,2,35,22,1,4,1,6,33,1,30,1,11,11,1,4,2,5,1,1,1,3,1,1,1,1,1,33,0.132319182,39.56298361,6.613003336,1.338845795,,45,51,47,58,-232.7124556,
45A4,1ew4,2,29,0,17,2,33,8,2,32,26,1,2,1,5,36,1,28,1,10,15,1,3,1,4,1,1,1,2,1,1,1,1,1,36,0.131114798,40.6183652,6.485992717,1.356263218,,44,52,46,58,-232.7111007,
45A4,1ew4,2,33,1,15,1,33,8,2,35,23,1,2,1,7,34,1,31,1,9,14,1,4,2,3,1,1,1,2,1,1,1,1,1,34,0.117314666,41.60748822,5.991710309,1.344016678,,46,53,49,59,-232.7186328,
45A4,1faz,2,79,5,10,0,0,4,4,70,8,1,3,1,2,32,2,67,2,6,2,1,2,1,3,1,1,1,1,1,1,1,1,1,32,0.209795552,37.9987944,15.25169457,1.453490148,,49,63,53,70,-203.915099,
45A4,1faz,3,63,5,16,2,3,9,5,61,7,2,5,1,2,38,3,56,1,5,2,1,2,1,3,1,1,2,4,1,2,1,1,2,38,0.363542928,37.75651334,16.18565049,1.475815781,,39,55,43,61,-203.8883235,
45A4,1faz,2,71,3,16,0,0,5,4,65,7,1,5,1,2,36,2,61,2,5,2,1,2,1,3,1,0,2,3,1,1,1,1,2,36,0.290249966,36.41245666,15.52732752,1.408870612,,44,58,48,64,-203.8807969,
